smiles,logp
C(CCc1ccccc1)CNc2ncnc3[nH]cnc23,3.29
NC1=NC(CS1)C2OCCc3ccccc23,1.79
CCOn1c(=O)[nH]c(C)c(Br)c1=O,0.11
CCCCCCCCn1cc(C)c(=O)[nH]c1=O,3.04
N#Cc1c2ccccc2cc3ccccc13,4.26
Cc1nc(no1)c2ccc(C)cc2,2.74
Fc1ccccc1C2=NCC(=O)N(CC(F)(F)F)c3ccc(Cl)cc23,3.36
CSc1ncc2ccccc2n1,2.5
CNC(=S)NCCSCc1nc[nH]c1C,0.5
Fc1ccc(N=C=S)cc1,3.28
ClC(=C(Cl)Cl)Cl,3.4
CNC(=O)N(C)C(=O)Nc1cc(Cc2ccccc2)ccc1F,3.9
Cc1ccc2ccccc2n1,2.59
CCc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,0.9
CSC(=O)c1c(CC(C)C)c(C(=O)SC)c(nc1C(F)F)C(F)(F)F,4.75
c1ccc2c3[nH]c4c(ccc5ccccc45)c3ccc2c1,6.4
CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,4.66
ON=Cc1nc(no1)c2ccccc2,2.72
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,3.89
Cc1non(=O)c1Cl,0.9
CC(C)C(NC(=O)C(C)NC(=O)CNC(=O)C)C(=O)N,-1.56
BrCBr,1.88
Nc1ncnc2n(cnc12)C3CC(F)C(CO)O3,0.08
CC1CCC(C)N1N=O,0.86
Nc1ccc(cc1)S(=O)(=O)Nc2ccc(Br)cn2,2.3
Oc1ccc(Cl)c(Cl)c1,3.33
CC(Oc1ccc(Cl)c(C)c1Cl)C(=O)Nc2ccccc2,4.8
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC3COC3)n1,1.05
NNC(=O)c1cccc(Cl)c1,1.18
CCc1ccc(OC(=O)C)cc1,2.56
OC(=O)C=Cc1ccc(O)c(O)c1,1.15
CC(OP(=O)(C)C)C(C)(C)C,1.08
CCOP(=S)(OCC)SCCS(=O)CC,1.73
CC1CCCCC1,3.61
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,1.95
Cc1ccc(SCCNc2ccccc2C(=O)N)cc1,3.15
Oc1ccc(Cc2ccc(O)cc2)cc1,2.91
CCc1c(O)c(=O)ccn1C,-0.2
OC(=O)c1c(Cl)cccc1N(=O)=O,1.56
COC(=O)c1ccc(C(=O)OC)c(N)c1,2.28
CCC1(C)CCC(=O)NC1=O,0.23
OC(=O)c1ccc(C#N)cc1,1.56
CC(=O)Nc1ccccc1Cl,1.28
CCN(CC)Cc1ccc(cc1)C(=O)Nc2ccccc2,3.49
OC(=O)Cc1ccc(Br)cc1,2.31
COP(=O)(OC)C=C(Cl)Cl,1.4
CC(=O)Nc1ccc(cc1)S(=O)(=O)C,0.58
CC(=O)Nc1cc(OCC=C)c(Cl)cc1F,2.76
Brc1cnccn1,0.93
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.4
Nc1cccc2nc3ccccc3cc12,2.47
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,2.9
NC(=N)NC(=O)Nc1cccc(c1)N(=O)=O,1.28
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,6.18
CCON=C(OC(=O)c1ccccc1)c2c(OC)ccc(Cl)c2OC,3.73
OC(=O)c1cn(c2cccc(F)c2)c3cc(N4CCNCC4)c(F)cc3c1=O,0.63
Cc1cccc(N=C2NCCN2)c1Cl,1.83
CC(=O)C=CC1C(=CCCC1(C)C)C,3.66
Brc1ccsc1,2.62
Cc1cnc(N(=O)=O)n1CCO,0.18
ClCCl,1.25
CNc1nc(C)nc2n(cnc12)C3OC(CO)CC3F,0.64
CC(C)(C)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc12,0.3
Cc1ccc(C)c(Cc2c[nH]cn2)c1,2.72
OCc1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3,3.27
COc1ccc(cc1)C2Cc3cc(SC(C)(C)C)ccc3N(CCN(C)C)C(=O)C2OC(=O)C,5.6
CN(C)Cc1cccs1,1.67
Fc1cccc(CCl)c1,2.77
CCOC(=O)CNC(=O)COC(=O)c1ccccc1OC(=O)C,0.99
Cc1n[nH]c(C(=O)NC2C3CC4CC(C3)CC2C4)c1N(=O)=O,2.83
CCOP(=S)(OCC)SCCS(=O)(=O)CC,1.87
COc1cc(cc(OC)c1OC)S(=O)(=O)CCN2CCOCC2,1.29
CNC(=O)N(C)c1ccccc1,1.02
CN(C)C(=O)Oc1cccnc1Cl,1.04
OC(=O)COC1Cc2ccccc2C1,2.33
OCCCCNC(=O)C(F)(F)Cn1ccnc1N(=O)=O,-0.29
Cc1non(=O)c1N,-0.32
OCC1OC(C(O)C1O)n2cnc3c(NCc4ccco4)ncnc23,0.52
CCC(=O)c1ccccc1,2.19
COc1ccc(Cn2cncn2)cc1,1.1
CC(=O)Nc1ccc(O)cc1,0.51
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,7.32
NC(=O)c1cccc(C#N)c1,0.52
CC(C)OC(=O)CSc1ccc(cc1N(=O)=O)N(=O)=O,2.81
NC(Cc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc4ccccc4)C(=O)O,1.63
CCOc1ccc(cc1OCC)C(=O)O,2.37
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,2.83
CN1CCC(=CC1)c2ccc(N)cc2,1.47
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03
CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC)C,4.15
CCCCCCNC(=O)CNC(=O)C=N#N,1.51
Cc1[nH]c2ccccc2c1Cc3nnc(Nc4ccccc4)s3,3.11
COC1=CC(=O)C=CC1=O,-0.06
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,3.37
O1c2ccccc2Sc3ccccc13,4.54
COC(=O)c1ccncn1,-0.27
Cc1ccccc1N2CCN(CC3CN=C(N)O3)CC2,1.78
Cc1oc2cc(OCC#N)ccc2c(=O)c1C,1.96
COc1ccc(cc1)C(=O)N,0.86
C(N1CCOCC1)c2cccnc2,0.04
NC(=O)c1ncccc1O,0.65
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4-n12,2.12
NC(CC#C)C(=O)O,-1.8
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.28
CC1=Nc2c(C)cccc2S(=O)(=O)N1,0.52
CCCCCCCCCCn1c(N)c(N)c(=O)[nH]c1=O,3.04
CCOC(=O)c1cccc(c1)N(=O)=O,2.35
Cc1ssc(=S)c1C,2.45
COc1ccc(cc1)C2Cc3cc(OC)ccc3N(CCN(C)C)C(=O)C2OC(=O)C,3.2
Nc1nc(N)nc(n1)c2cc(F)ccc2Br,1.45
Cc1ccc(C=NO)cc1,2.4
CN(SN(C)C(=O)OC(C)(C)C)C(=O)Oc1cccc2CC(C)(C)Oc21,4.3
OC(CCNC1CCCCC1)COc2cccc3ccccc23,3.99
CCCCCNc1nc(NC)nc(SC(F)F)n1,4.42
Cc1cccc2n(=O)ccc(N(=O)=O)c12,1.36
OC(c1ccccc1)(c2cncnc2)c3ccc(Cl)cc3Cl,2.56
OC1CCCCCCCCCCC1,3.75
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,3.56
CC(=O)Oc1c[nH]c2ccccc12,2.01
C(Cc1cccnc1)N2CCCC2,1.34
O=N(=O)c1cc2ccccc2nn1,0.73
Oc1cccc(N=C=S)c1,3.23
CCNC(=O)CCn1ccc(=O)c(O)c1C,-0.82
CC(=O)Nc1nc(NC(CO)C(O)CO)c(Cl)nc1N(=O)=O,-0.66
CC(C)NC(CO)C(O)c1ccccc1,1.19
CCCCCn1nc2ccccc2n1,3.63
CCC(C)N(C)N=Nc1[nH]cnc1C(=O)N,1.08
Clc1ccncc1CN2CCNC2=NN(=O)=O,0.59
COc1cc(O)ccc1O,0.47
OC(=O)C(=C(C=O)C(Cl)Cl)Cl,1.13
Cc1cc(NN)ncn1,0.62
Clc1cc(Cl)cc(c1)c2ccccc2,5.37
CCOP(=O)(OCC)C(C)(C)N(=O)=Cc1ccc(Cl)cc1,2.29
Brc1ccsc1Br,3.53
ClC1=C(Cl)C2(Cl)C3C=CCC3C1(Cl)C2(Cl)Cl,5.44
Oc1ccc(C=O)c2cccnc12,1.63
CCCOC,1.21
FC(F)(F)c1nc2c(Cl)c(Cl)cc(Cl)c2[nH]1,3.78
CC(=O)Nc1ccn(=O)c2ccccc12,-0.11
CCCCC(CCCC)C(=O)O,3.2
CCOC(=O)C(=Cc1cccc(OC)c1)C(=O)OCC,3.18
Cc1ccc(cc1)c2cc(=S)ss2,4.26
COCC(O)CN(C(=O)C)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-2.42
COC(=O)c1c(C)[nH]c(c1C(=O)OC)c2cc(Cl)ccn2,2.63
CN(C)N=Nc1ccccc1,2.59
Cc1cccc(C)c1NC(=O)CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2,5.6
CC(=O)Oc1ccccc1N(=O)=O,1.55
N#CC(=C(c1ccccc1)c2ccccc2)C#N,3.55
Cc1cc(C)c(C)cc1C,4.0
CC(=O)C(=Cc1ccccc1)C(=O)C,1.59
OCCCCCCO,-0.02
CC(=C)C#N,0.68
CCOc1nc(ns1)C(Cl)(Cl)Cl,3.37
Clc1ccccc1c2c(Cl)cccc2Cl,5.47
Cc1ccc2cc(C)ccc2c1,4.31
CN(C)S(=O)(=O)c1ccc(cc1)N(C)C(=O)CCI,1.39
CC(C)Oc1ccccc1OC(=O)N(C)C,2.06
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.12
CCCOC(=O)C(=C1SC=CS1)C(=O)OC,2.72
CC(C)(C)N(NC(=O)c1cccc(F)c1)C(=O)c2ccccc2Cl,2.88
Nc1ncccn1,-0.22
COc1ccc(cc1)S(=O)(=O)N,0.47
CCOc1cncc(n1)C(=O)N,0.61
Fc1ccc(F)cc1,2.13
COc1ccccc1C(=O)NN,0.25
COc1cnnc2ccccc12,1.41
CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2,3.09
CC(=O)Nc1ccc(I)cc1,2.71
CCOC(=O)CCC(=O)OCC,1.19
Clc1ccc(c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2,7.6
OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34,2.82
CC(=O)Nc1cccc(OC(=O)C)c1,1.03
CC(C)C(=O)C(C)C,1.86
COC(=O)Nc1cccc(C)c1,2.22
O=c1cncc[nH]1,-1.49
Cc1ccc(C=O)o1,0.67
CC(=O)NNC(=O)Nc1ccc(cc1)N(=O)=O,0.77
Clc1cccc2c(Cl)cccc12,4.67
CC12CCC3C(CCC4=CC(=O)CCC34)C2CCC1(O)C#C,2.97
CCCCCCCI,4.7
OC(=O)c1c(O)cccc1O,2.2
CC(C)c1cccc(C(C)C)c1NC(=O)C,2.41
OCCCCCc1cccnc1,1.41
CCOc1ccc(NC(=O)OCCN2CCCCC2)cc1,3.41
OCCCCCCCCCNc1ncnc2[nH]cnc12,2.75
CC1(CCC(=O)NC1=O)c2ccncc2,0.07
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,3.53
O=c1[nH]cnc2nn[nH]c12,-1.97
Oc1c(Cl)ccc(Cl)c1Cl,3.77
NC(Cc1ccc(O)c(O)c1)C(=O)OCc2ccccc2,1.5
CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,1.83
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,2.93
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.94
CN1C(=O)CN=C(c2ccccc2F)c3cc(F)ccc13,2.41
CC(=O)Oc1ccc(cc1)N(=O)=O,1.5
COc1cccc(c1)N2CCN(CCN(C)C)C2=O,1.76
Cc1cccc(OC(=O)c2ccc(N)cc2O)c1,3.64
CNC(=O)Oc1ccc(OC)cc1,1.2
O=N(=O)c1cccc(C#N)c1,1.17
CCOC(=O)c1cccc(c1)N(C)C,3.19
CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C)C(=O)CO,3.18
CCc1c(O)c(=O)ccn1CCOC,0.04
CCCCCCNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.54
Oc1c(F)cccc1F,2.05
Cc1ccc(C(=O)O)c(O)c1,2.8
O=Cc1ccc(o1)N(=O)=O,1.01
CCCCN(CCCC)N=O,2.63
OCC(NC(=O)CC#N)C(O)c1ccc(cc1)N(=O)=O,-0.22
Nc1ccc(cc1)S(=O)(=O)Nc2cccnc2Cl,1.58
ClCS(=O)c1ccccc1,1.47
CCc1ncc(C)nc1CC,1.95
Cc1cc(=O)n2c(C)cccc2n1,1.05
Cc1c(O)c(=O)ccn1c2ccc(cc2)N(=O)=O,0.76
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC,3.16
OC(=O)C1CCN1C(=O)COC(=O)c2ccccc2,0.79
CC(=O)NC(=O)Nc1ccccc1,1.6
Cc1ccccc1C(=O)N(NC(=O)c2ccccc2)C(C)(C)C,2.75
CC1(C)CC2=NOS3=C2C(=NO3)C1,1.9
Cc1cccc(C)c1N(Cn2cccn2)C(=O)CCl,2.13
NNC(=O)NCc1ccccc1,-0.22
COC(=O)C(C)c1ccc(cc1)n2sc3ccccc3c2=O,3.46
Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=S,0.44
CC(C)N(N=O)C(C)C,1.38
C(CNc1nc2ccccc2s1)COc3cccc(CN4CCCCC4)c3,5.41
Cc1cccc(N(=O)=O)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,3.75
COC(=O)C=C,0.8
COC1CC(OC2CCC3(CO)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1O,0.56
Fc1ccc(cc1)C(=O)NP(=O)(N2CC2)N3CC3,0.86
CC(C)(C)NCc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N,1.76
Oc1cc(O)c2ccccc2c1,1.97
CCC(C)NC(=O)C=Cc1ccc(o1)N(=O)=O,2.28
CN(C)C(CSS(=O)(=O)c1ccccc1)CSS(=O)(=O)c2ccccc2,3.36
CCN(CC)CCSC(=NO)c1nonc1C,1.4
CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)(C)O,2.11
CCOC(=O)C1(CC1)S(=O)(=O)c2ccc(C)cc2,2.23
CSc1nnc(c2ccccc2)c(=O)n1N,1.66
O=Cc1c[nH]c2ccccc12,1.68
Oc1ccccc1c2ccccc2,3.09
CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-1.75
CC(CN1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,4.93
CC(C)CCCCNc1ncnc2[nH]cnc12,3.61
CC(C)NCC(O)COc1cccc2ccccc12,2.98
CNC(=O)COC(=O)c1ccccc1,0.99
CNC(=O)OCc1cccc(COC(=O)NC)n1,0.24
CN(C)S(=O)(=O)c1ccc(cc1)N(C)C=O,0.4
CCOC(=O)C(=Cc1ccc(Cl)cc1)C(=O)C,3.04
O=NN(CC#N)CC#N,0.04
CCCC(=O)n1c(=O)[nH]cc(F)c1=O,0.67
O=N(=NC#N)c1cccc(C#N)c1,1.15
OC(=O)C(Cc1ccc(F)cc1)n2cccc2,2.04
COc1ccc(cc1CNC2CCCNC2c3ccccc3)c4ccsc4,4.8
OC(=O)c1cn(c2ccc(cc2)N(=O)=O)c3cc(N4CCNCC4)c(F)cc3c1=O,0.91
CCCc1ssc(=S)c1C,3.42
CCc1cccc(CC)c1O,3.03
Ic1cccc(c1)C(=O)NP(=O)(N2CC2)N3CC3,1.91
NC(=O)c1cccc(c1)N(=O)=O,0.77
CC(C(=O)N)n1nnc2ccccc12,0.35
CC1(NC(=O)NC1=O)c2ccccc2,1.02
CC(C)C1CCC(C)CC1O,3.23
Cn1nc2ccc(NC(=O)CCl)cc2n1,1.22
Nc1cccc(N(=O)=O)c1N,1.27
CCCCCCBr,3.8
C1=CC=CC=CC=C1,3.08
CSc1ccc(OCc2ncc(N(=O)=O)n2C)cc1,2.5
CN(CCN)S(=O)(=O)c1ccc(c(c1)N(=O)=O)C(C)(C)N(=O)=O,0.62
Cc1cccc(c1)C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C,3.11
CC(=O)Nc1ccc(C)c(Cl)c1,2.69
OC(=O)c1cc(ccc1Cl)N(=O)=O,1.88
OC(COc1cccc2oc(cc(=O)c12)C(=O)O)COc3cccc4oc(cc(=O)c34)C(=O)O,1.92
Cc1ccc(O)c(C)c1,2.3
OC(=O)CCCCCN1C(=O)C=CC1=O,1.15
NCc1ccccn1,-0.21
NNC(=O)c1ccccc1I,0.47
CN(C)C(=O)c1ccsc1,0.55
CC(C)CCOc1cc(N)ccc1C(=O)O,2.3
FC(F)(F)C(Cl)Br,2.3
CC(=O)CNc1ccccc1C(=O)O,1.85
CCCCSC1=CC(=O)c2ccccc2C1=O,3.29
Cc1ccc2n(=O)c(N)nn(=O)c2c1,0.2
CCCCN(C)N=O,1.02
COC(=O)C(=Cc1ccc(Br)o1)N(=O)=O,2.74
COc1c(O)ccc(O)c1OC,0.59
Nc1ccc2N3C4C5C6CC7N(CCC74c2c1)CC6=CCOC5CC3=O,0.54
CCOC(=O)CC(NC(=O)CCCCSc1ncnc2nc[nH]c12)C(=O)OCC,1.33
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0.89
CC#N,-0.34
COc1cc(Cl)c(Cl)c(Cl)c1,4.22
CCN(CC)CCSC(=NO)c1nc(no1)c2ccccc2,3.05
CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-0.73
CCC(=O)OC1(C(C)CC2C3CC(F)C4=CC(=O)C(=CC4(C)C3(F)C(O)CC21C)Cl)C(=O)CO,2.99
OCCNCCO,-1.43
NC(=O)CCn1nc2ccccc2n1,0.66
Oc1ccccc1C(F)(F)F,2.8
CC(C)n1c(=O)nc([nH]c1=O)N(C2CCCCC2)C(=O)C,1.59
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,0.98
NCCc1c[nH]c2ccc(O)cc12,0.21
ON=Cc1noc(n1)c2ccccc2,2.4
NN(C(=O)c1ccc(cc1)N(=O)=O)c2ccccc2,2.48
CCCC(=O)N(C)SN(C)C(=O)ON=C(C)SC,2.2
CCCCI,3.08
COP(=O)(OC)OC(=CCl)c1ccc(Cl)cc1Cl,3.12
Clc1cc(Cl)c2oc3c(Cl)c(Cl)ccc3c2c1,6.25
CC1=C(C)C(=O)C=CC1=O,1.24
O=N(=O)CCc1ccccc1,2.08
O=C(COc1ccccc1)Nc2ccccc2,2.73
CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,4.08
CS(=O)CCn1ccnc1N(=O)=O,-1.27
CC1CCCC(C)N1C(=O)COC(=O)c2ccccc2,2.9
CON(C)C(=O)Nc1cccc(c1)N(=O)=O,1.64
CCN1C(=O)C(=O)c2c(OC)cc(OC)cc2C1=O,1.23
Clc1cc(Cl)c(Cl)c(c1)c2c(Cl)ccc(Cl)c2Cl,7.15
Nc1nnnn1c2ccc(Br)cc2,1.63
COC(=O)c1nccnc1C(=O)OC,-0.02
C1COCCOCCOCCOc2ccccc2OCCOCCOCCOCCO1,0.23
CC12CCC3C(CCC4CC(=O)CCC43C)C2CCC1=O,3.6
CC(C)C(=O)NC(CO)C(O)c1ccc(cc1)N(=O)=O,0.79
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,5.51
Cc1nn(c2cc(CC(Cl)C(=O)O)c(Cl)cc2F)c(=O)n1C(F)F,3.36
Cc1ccc(Cl)cc1N(=O)=O,3.05
CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc2ccc(O)cc2)C(=O)O,2.43
CC(=O)Nc1c(cccc1N(=O)=O)N(=O)=O,0.56
CN1CCN(CC1)N=O,0.2
CC(=O)OC=C,0.73
Fc1cccc(NC(=O)Cc2ccccc2)c1,3.1
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88
CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,4.48
COc1ccc(OC)c(Cl)c1,2.69
Cc1ccccc1S(=O)(=O)N,0.84
C1C2CC3CC1CC(C2)(C3)n4nnc5ccccc45,3.52
CCCC1OCSC1=NOC(=O)NC,1.52
NC1CC1c2ccccc2,1.49
CC(=O)n1ccnc1,-0.34
OCC1OC(Oc2cccc(c2)N(=O)=O)C(O)C(O)C1O,-0.51
CC(C)N1CCOC(C1)c2cccc(Cl)c2,3.27
CCc1cnc(C=Cc2ccc(o2)N(=O)=O)nc1,1.55
CCN(CC)c1cc(ccn1)C(=O)NN,1.12
CCCCCCO,2.03
COC(=O)C(=NNc1cc(ccc1Cl)C(F)(F)F)C#N,4.42
Fc1ccc(NS(=O)(=O)C(F)(F)F)c(F)c1,3.06
COc1ccc(cc1)C2Cc3cc(ccc3N(CCN(C)C)C(=O)C2CC(=O)C)C(F)(F)F,4.7
CC(=O)c1cnccn1,0.2
Cc1cnc2ccc3n(C)c(N)nc3c2n1,1.01
CNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.16
CCC(C(CO)Cc1cncn1C)C(=O)OC(C)c2ccccc2,2.23
CC(C)CC(N)C(=O)OCn1ncc2c(=O)[nH]cnc12,0.19
O=N(=O)c1ccc2ncccc2c1,1.84
CC(C)OC(=O)C=Cc1ccc(o1)N(=O)=O,2.64
CCCCCO,1.56
NC(=O)c1cccc(c1)S(=O)(=O)N,-0.7
OCC1OC(C=C1)n2ccc(=S)[nH]c2=O,-0.28
CC(C)C(C)NC(CO)C(O)c1ccccc1,1.61
O=N(=O)c1ccc(cc1)c2ccccc2,3.82
NC(CSSCC(N)C(=O)O)C(=O)O,-5.08
CCN1CC(OC1=O)C(O)C(CC2CCCCC2)NC(=O)C(Cc3cnc[nH]3)NC(=O)C(CC(=O)N(C)CCOCOCCOC)Cc4ccccc4,2.21
CN(C)CCCc1ccccc1,2.73
CCOP(=S)(OCC)Oc1ncn(n1)c2ccccc2,3.55
Nc1ncnc2[nH]cnc12,-0.09
CCCCN(C)N=Nc1ccc(cc1)C(=O)N,2.47
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc2ccccc2)C(=O)N,0.54
Cc1cc(OCC(=O)O)ccc1S(=O)(=O)C,0.54
COc1cc(CC(=O)O)ccc1OCc2ccccc2,2.59
CC1(C)N=C(N)N=C(N)N1c2ccc(Br)cc2,1.09
CC(C)Oc1c(Br)c(Br)sc1C(=O)Nc2nnn[nH]2,1.85
Cc1cncc(Cl)n1,1.03
CCCCCCCC(=O)C,3.14
FC(=C)F,1.24
CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1N(=O)=O,4.7
Brc1ccc2ccc3ccc(Br)c4ccc1c2c34,6.73
CCN1CCCC1CNC(=O)c2c(OC)ccc(Br)c2OC,2.13
COc1cncc(C#N)n1,0.95
Nc1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3,3.16
CNC(=O)OCc1c2C(CCn2c3C(=O)C(=C(OC)C(=O)c13)Cl)OC(=O)C,2.08
Cn1c(N)cc2ccccc12,1.72
COc1ccc(c2ncc[nH]2)c(OC)c1,1.72
OCCN1CCN(CC1)C(=O)Cn2c(=O)sc3ccc(Cl)cc23,1.04
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.65
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.87
Oc1cccc(O)c1,0.8
CC(C)ON=CNc1cc(Cl)c(OCC#C)c(Cl)c1,3.9
CCCCCc1cc(OCCCCN)c2C3CC(=CCC3C(C)(C)Oc2c1)C,8.38
NN(CCC#N)c1nc2cc(ccc2o1)C(F)(F)F,1.72
CCCCCNc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,1.67
COc1cc(OC)c(CC(C)N)c(OC)c1,1.57
CN(C)C(=O)Oc1ccc(C)cc1,2.03
COc1ccc(N=NN(C)C(=O)C)cc1,2.61
CN1CCC=C1c2cccnc2,1.13
CC(C)NC(=O)NS(=O)(=O)c1ccccc1,1.34
Cn1c(N)nc2cc(C#N)ccc12,1.11
COC(=O)c1ccco1,1.0
COC(=O)C1(CC1)S(=O)(=O)c2ccc(cc2)N(=O)=O,1.33
CCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,2.9
O=N(=O)C=Cc1ccccc1N(=O)=O,1.8
CNP(=O)(OC)SC,-0.07
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,3.7
CCOC(=O)C(=Cc1ccccc1F)C(=O)OCC,3.04
Cc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,0.85
