smile,logp
O=S(=O)(Cc1ccccc1)c2ccccc2,2.05
Nc1nc(N)nc(n1)c2ccc(F)cc2,1.61
CCN(CC)CCNC(=O)c1cc(Cl)ccc1OC,3.11
CC(=O)C=Cc1ccc(cc1)C(F)(F)F,3.13
Cc1ccc(cc1)N(=O)=O,2.37
FC(F)(F)C1=Nc2cc(Cl)ccc2S(=O)(=O)N1,1.65
Nc1ncc(Cc2cc(Cl)c(Cl)cc2Cl)c(N)n1,3.79
Cn1c(N)cc2ccccc12,1.72
NNC(=O)c1ccccc1Br,0.26
COc1ccc(C=O)cc1OC,1.20
Clc1cc(Cl)c(Cl)c(Cl)c1,4.66
O=N(=O)c1ccc2ccccc2c1,3.28
CC(O)C(NC(=O)C)C(=O)N,-1.57
CCN(CC)c1cc(ccn1)C(=O)NN,1.12
NCCCCCCC(=O)O,-3.03
C1COC1,-0.14
CC(C)c1ccccc1N,2.12
CCOC(=O)c1cnc2CCCC(C)n2c1=O,0.62
C1COP(Oc2ccccc2)O1,1.42
Cc1ccncn1,0.16
Fc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,2.15
NC1C2CCC1c3ccccc23,2.08
CN(C)CCOC(=O)c1ccc(cc1)C(F)(F)F,2.88
Cc1[nH]c2ccccc2c1Cc3n[nH]c(=S)n3c4ccccc4,2.55
OCCn1c(C=Cc2ccccc2)ncc1N(=O)=O,2.25
CN(C)C(=O)Oc1cccnc1N(=O)=O,0.54
O=N(=O)c1ccc(cc1)c2ccccc2,3.82
Cc1ccc(C=N(=O)C(C)(C)C)cc1,1.74
CCCC(CO)n1cnc2c(N)ncnc12,0.66
Cc1ccc2C(=O)C=CC(=O)c2c1,2.10
CCNc1ccncc1S(=O)(=O)NC(=NC#N)NC(C)C,-0.24
CC(O)Cc1ccccc1,1.97
COc1cccnn1,0.08
ClC(=C(Cl)Cl)Cl,3.40
CNP(=O)(OC)Oc1ccccc1Cl,1.61
CC(C)NCC(O)c1ccc2ccccc2c1,3.00
COCCOC(=O)c1ccccc1,1.78
CCCCc1ccc(CO)cc1,3.00
Cc1cncc(Cl)n1,1.03
CC(=O)OCc1ccccc1,1.96
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12,1.59
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(Br)cc1,1.87
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,2.83
CC1(CO)COC(Cn2cncn2)(OC1)c3ccc(Cl)cc3Cl,2.10
CC(NC(=O)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(C)(C)C,1.25
OC(CF)Cn1cnc(n1)N(=O)=O,-0.59
CCc1cnc2cccc(C)n2c1=O,1.79
Cn1cccc1C(=O)N,0.45
CCOC(=O)C(=O)OCC,0.56
O=N(=O)c1ccccn1,0.47
CC(=O)ONc1ccnc2ccccc12,0.97
Clc1cccc(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,7.30
OCc1ccc(O)c2ncccc12,1.00
CC(=O)Nc1ncc2ncn(COCCOC(=O)C)c2n1,-1.05
CN(C(=O)N)c1ccccc1,0.42
CCc1oc(C)cc(=O)c1O,1.22
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc3ccccc3)C(=O)O,-0.32
CC(C)OP(=O)(F)OC(C)C,1.17
CCC(C)c1cc(cc(C(C)CC)c1O)N(=O)=O,4.8
CCOP(=O)(N)SCC,0.15
Oc1ccc(N(=O)=O)c(O)c1N(=O)=O,2.10
Nc1nc(N)nc(n1)c2ccccc2,1.36
CCOc1ccc(NC(=O)OCCF)cc1OCC,2.27
O=C(COC(=O)c1ccccc1)N2CCCC2,1.44
CN(C)N=Nc1ccc(C#N)cc1,2.39
COc1ccc(cc1N)N(=O)=O,1.47
CN(C)C(=O)C1(CC2CC3CC(C2)C1)C3,2.55
Nc1nc2n(cnc2c(=O)[nH]1)C3OC(CO)C=C3,-1.21
CCOc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OCC)n1,2.40
NC(=O)c1c(F)cccc1F,0.25
CNC(=O)Oc1cccc(C#N)c1,0.97
CCCC(C)CCC(=O)C,2.92
CC(C)c1ccc(O)cc1,2.90
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)n2cc(C)c(=O)[nH]c2=O)Oc3ccc(cc3)C(=O)OC,1.01
CC(=O)Oc1ccc(cc1)N(=O)=O,1.50
O=n1onc(Cc2ccccc2)c1Cc3ccccc3,3.65
CC(=O)Nc1ccn(C2OC(COC(=O)C)C(OC(=O)C)C2OC(=O)C)c(=O)n1,-0.16
OC1COC(O)C(O)C1O,-2.32
COc1ccc(Cc2cnc(N)nc2N)c(OC)c1OC,1.52
Cc1ccc(cc1)C(=O)O,2.27
OC(CNCCNC(=O)Cc1ccccc1)COCC=Cc2ccccc2,2.11
CC1(C)CC(CC(C)(C)N1O)NC(=O)NP(=O)(N2CC2)N3CC3,-0.52
O=N(=O)c1ccc(NN=C(C#N)C#N)cc1,2.37
CCOC(=O)C(CC(C)C)NC(=O)CNC(=O)CNC(=O)CCCCSc1ncnc2nc[nH]c12,1.07
CCc1c(O)c(=O)ccn1CCO,-0.66
CCOS(=O)(=O)OCC,1.14
Clc1cccc2c(Cl)cccc12,4.67
Clc1ccc(Cl)c(Cl)c1,4.05
COc1cnc(N)cn1,0.63
Cc1cc2ccccc2s1,3.71
NS(=O)(=O)c1nc2c(Cl)cc(Cl)cc2s1,2.60
c1ccc2c(c1)cnc3ccccc32,3.47
CC1=CC(=O)C(=C(C)C1=O)C,1.8
CCc1ncc(N(=O)=O)n1C,0.62
CCCCC(C)O,1.76
C1C2CC3CC1CC(C2)(C3)n4nc5ccccc5n4,4.30
CC(=O)CNc1ccccc1C(=O)O,1.85
Cc1ccc(N(=O)=O)c(O)c1,2.31
CON(C)C(=O)Nc1cccc(C#N)c1,1.33
OCc1ccco1,0.28
COc1ccc2cc(CCC(=O)C)ccc2c1,3.08
Nc1cccc2ncccc12,1.16
Nc1nc(N)nc(n1)c2ccc(cc2)C(F)(F)F,2.67
OC(=O)Cc1ccc(I)cc1,2.64
OC(CNCCNC(=O)Cc1ccccc1)COCCCc2ccccc2,2.02
Nc1nc(N)nc(n1)c2cc(Cl)ccc2Br,1.85
COC(=O)c1c(Cl)cccc1Cl,2.79
CN(C)C(=O)Oc1cccc(c1)C(=O)C,1.18
OC(=O)c1c(F)cccc1Cl,2.11
CC1=CCC2CC1C2(C)C,3.75
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,3.28
Cc1ccc(O)c(N)c1,1.11
Fc1cccc(F)c1c2nnc(nn2)c3ccccc3Cl,3.3
COC(=O)c1ccnnc1,-0.27
Clc1ccccn1,1.27
O=N(=O)c1ccc2sccc2c1,2.92
Cc1ccc2cccnc2c1,2.47
Cc1ccc(NC(=O)CN2CCCCC2)cc1,2.96
OCCCNc1ncnc2[nH]cnc12,0.11
CC(=O)Nc1ccc(cc1)C(C)(C)C,3.05
CC(=O)NC(=O)Nc1ccccc1,1.60
CCCCc1cccc(OCC(=O)O)c1,3.18
CCCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.91
CCCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.81
OC(=O)c1cccs1,1.57
N(c1n[n+](c(s1)c2ccccc2)c3ccccc3)c4ccccc4,2.84
CCc1cc2[nH]c(=O)c(=O)[nH]c2c(N(=O)=O)c1Br,1.04
COc1ccccc1N2CCN(CCCCc3ccc(F)cc3)CC2,4.8
COC1=C(OC)C(=O)C(=CC1=O)C,0.78
COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(C(O)C(C)O5)N6CCOCC6)c4c(O)c3C(=O)c12)C(=O)CO,1.73
CSc1nccnc1C,1.81
CN(C)c1ccc(Cc2cnc(N)nc2N)cc1,1.82
CC(=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C)C,4.78
CC(=O)OCCS(=O)(=O)c1ccc(s1)S(=O)(=O)N,0.11
OC(=O)c1ccc(cc1)C(F)(F)F,3.10
CN1CCN(Cc2cccc(COc3ccccc3)c2)CC1,3.05
Cc1ccc(cc1C)C(=O)N(NC(=O)c2ccccc2)C(C)(C)C,3.34
CNC(=O)Oc1ccc(c(C)c1)C(C)(C)C,3.38
CCOC(=O)c1cccc(c1)N(C)C,3.19
CCOc1ccc(NC(=O)OC(C)C#C)cc1OCC,2.68
CC(=O)C=Cc1cccc(c1)C(F)(F)F,3.03
CCCN(C(=O)C)c1nc(=O)n(CCC)c(=O)[nH]1,0.88
CCCCCCCCC1(CCC(=O)NC1=O)c2ccncc2,4.04
Fc1ccccc1CNc2ncnc3[nH]cnc23,2.27
ClC1CC=CC(Cl)C1Cl,2.84
CC1CCC(C)N1N=O,0.86
O=C(Oc1ccccc1)Oc2ccccc2,3.28
COc1cc2CCC(NC(=O)C(F)(F)F)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC,1.72
CC(=O)NC(CCCNC(=O)N(CCCl)N=O)C(=O)NCc1ccccc1,1.33
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,-3.05
CCNC(=S)SC,1.57
CNC(=O)Oc1cc(C)ccc1C(C)(C)C,3.14
Cc1n[nH]c(C(=O)Nc2ccccc2)c1N(=O)=O,1.81
CCN(CC)CCNC(=O)c1cc(Br)ccc1OC,3.20
C=CCOC1=NS(=O)(=O)c2ccccc12,1.4
OCC1OC(CC1O)n2cc(Br)c(=O)[nH]c2=O,-0.29
COc1cccc(O)c1,1.58
CC1CC2OC(=O)C(=C(C)C)C2C(O)C3(C)C1C=CC3=O,1.47
Nc1ccc(cc1)S(=O)(=O)c2ccc(O)cc2O,1.29
CC(=O)Nc1ccccc1,1.16
NC(=O)c1cccnn1,-0.73
OCCc1cccnc1,0.12
COC(OC)OC,0.25
CCCCOCCCNc1ncnc2[nH]cnc12,2.22
CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)Cc2c[nH]c3ccccc23)C(=O)O,-1.00
NC(=Nc1ccccc1)N,0.53
CN(N)C(=O)c1ccc(cc1)N(=O)=O,0.75
CC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)N,-0.50
O=S(=O)(Oc1ccccc1)c2ccccc2,3.06
CCCn1cnc2c(NC(=O)C)ncnc12,0.09
OC(=O)c1c[nH]c2ccccc12,1.99
CCC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,2.79
CC1=NCCC1,1.87
Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)CNC(=O)C3(CC4CC5CC(C4)C3)C5)O2)c(=O)[nH]c1=O,2.10
CN(C)N=Nc1ccccc1I,3.50
Clc1ccc2N=C(NS(=O)(=O)c2c1)C3CCC3,2.24
ON=Cc1ccc(cc1)N(=O)=O,1.95
Cc1cccc(C)c1Cc2ccccn2,3.48
COc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,0.40
COC(=O)c1ccc(N=NN(C)C)cc1,3.22
CF,0.51
COc1cc(O)cc(OC)c1O,0.17
NS(=O)(=O)c1ccc(C#N)cc1,0.23
CC(=O)C=Cc1ccccc1F,2.34
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2ccccc2I,2.83
FC(F)(F)c1ccccc1,3.01
CCCNC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,2.40
CC(C)(O)C1CCC2(C)CCCC(=O)C2C1,1.92
CC(C)CC#N,1.07
Sc1nccc(=O)[nH]1,-0.28
Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1C,1.34
CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1Nc2cccc(Cl)c2,2.14
CCCNC(=O)c1[nH]nc(C)c1N(=O)=O,0.65
Cc1non(=O)c1Sc2ccccc2,2.74
C(Cc1ccccc1)Cc2ccccc2,3.43
CC(CN(C)C)C(O)(Cc1ccccc1)c2ccccc2,3.83
NC(Cc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)O,-0.85
Cn1c(N)nc2cc(Cl)c(Cl)cc12,2.98
CCC1=C(N2CC2)C(=O)C(=C(N3CC3)C1=O)C,1.35
NNc1ccc(cc1)N(=O)=O,1.41
CCC1(CC)SCC(=O)NC1=O,1.52
NC(=O)c1ccccc1NCCCO,0.70
c1ccc2nonc2c1,1.69
CNC1(CCCCC1=O)c2ccccc2Cl,2.18
CNc1nc(nc(n1)N(C)C)N(C)C,1.83
CCc1cccc(C)c1NC(=O)OC,1.99
Cc1cc(C)cc(OC2OC(CO)C(O)C(O)C2O)c1,0.26
CCNc1nc(NC(C)(C)C)nc(OC)n1,3.04
CSCCC(=O)N(C)c1ccc(cc1)S(=O)(=O)N(C)C,0.99
CC(=O)Nc1ccc2C(=O)c3cc(C)ccc3S(=O)(=O)c2c1,2.76
CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)O,2.88
O=C(CN1CCOCC1)NC2COc3ccccc23,0.81
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,3.6
CC(C)CNc1ccncc1S(=O)(=O)NC(=NC#N)NC(C)C,0.88
CNC(=O)COc1ccc(OCC(O)CNC(C)C)cc1,0.56
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c2c(F)cccc2F,2.16
CC(C)c1cc(O)c(C)cc1OCCN(C)C,2.93
CCOC(=O)c1ccoc1,1.78
Cc1cc2c(ccc3ccc(=O)oc23)o1,2.55
CC(C)(C)N(=O)=Cc1ccn(=O)cc1,-1.05
CC1CCC2OC2(C)C31CCC(C3)C(C)(C)O,2.70
Cc1ccc(Cc2nc3cc(Cl)ccc3[nH]2)cc1,5.21
CC(C)C(=O)NS(=O)(=O)c1ccc(C)cc1N,1.65
Clc1ccnc(C=Cc2ccc(o2)N(=O)=O)n1,1.31
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,7.73
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.65
O=C1CCc2cccc3CCN1c32,1.57
CCNC(=NC#N)NS(=O)(=O)c1cnccc1NC2CCCCC2,0.94
Clc1cc(Cl)c(Cl)cc1Cl,4.60
CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)O,-1.49
CCOC(=O)c1cnc2CCCCn2c1=O,0.15
COc1c(O)ccc(O)c1OC,0.59
Oc1ccc(O)c2ccccc12,1.90
Oc1ccccc1,1.47
CS(=O)(=O)Nc1cccc(NS(=O)(=O)C)c1,0.07
Cc1cc(C)cc(NS(=O)(=O)c2ccc(N)cc2)c1,2.52
CCCCCCCCCCCCCCCCCC(=O)OC,8.35
CC(=O)C=Cc1ccc(Cl)cc1,2.80
COc1cccc(OC)c1C(=O)Nc2nnc(s2)c3ccc(Cl)cc3,3.96
Cc1ccccc1C(O)c2ccccc2,3.06
OC(=O)c1ccccc1Nc2ccccc2,4.36
Brc1ccccc1,2.99
OCCC(F)(F)F,0.39
CCC(C)C(=O)O,1.18
CCC(C(CO)Cc1cncn1C)C(=O)OCc2ccccc2C,2.42
Clc1ccc(cc1)N2CCN(CCn3nc4ccccc4n3)CC2,3.75
CCOC1Oc2ccc(OS(=O)(=O)C)cc2C1(C)C,2.7
CC(=CC1C(C(=O)OCC(=C)C)C1(C)C)C,4.89
OCC1OC(OC2C(O)C(O)C(Oc3ccc(cc3)N(=O)=O)OC2CO)C(O)C(O)C1O,-1.39
CCCCC1(CC)C(=O)NC(=O)NC1=O,1.73
COc1ccc(CC(C)N)c(OC)c1,1.75
CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,4.3
NS(=O)(=O)c1ccc(s1)S(=O)(=O)CCCCO,-0.34
C1CNC(=Nc2ccccc2)N1,0.73
CNC(=NC#N)NCCCCc1ncccc1OC,1.50
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,2.11
CC(=O)Nc1cccc(F)c1,1.61
CCCOC(=O)c1ccc(N)cc1,2.43
Oc1ccc(cc1)c2cc3C(=O)c4ccccc4-c3nn2,2.88
Nc1ccc2cc3ccc(N)cc3nc2c1,1.83
CC(=O)C=Cc1ccc(Br)cc1,3.03
CC(=O)Nc1ccncn1,0.03
COCCNc1ncnc2[nH]cnc12,0.42
CC(=C1CCC(=CC1)C)C,4.47
OC(=O)c1ccccc1c2ccccc2C(=O)O,2.07
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,6.61
C(Nc1ncnc2[nH]cnc12)c3ccccc3,2.10
COC(=O)c1c(Oc2nc(OC)cc(OC)n2)cccc1C(=NOCC(=C)Br)C,3.73
Fc1ccc(CNc2ncnc3[nH]cnc23)cc1,2.34
O=c1ccc(=O)[nH][nH]1,-0.84
CCOC(=S)NCCn1c(C)ncc1N(=O)=O,1.50
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NCC(=O)O,-2.33
CC(C)COC(=O)C(=C)C,2.66
OCC1OC(C(O)C1O)n2cnc3c(NCCCc4ccccc4)ncnc23,1.92
O=S(Cc1ccccn1)c2nc3ccccc3[nH]2,1.33
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,2.69
CC(=O)C(=NNc1ccccc1Cl)C#N,4.01
CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c2cncnc2,3.34
CC1=Nc2c(C)cccc2S(=O)(=O)N1,0.52
CCCCc1c(C)nc([nH]c1=O)N(C)C,1.90
CCc1ssc(=S)c1CC,3.51
NC(=O)Nc1ccccc1,0.83
O=S1(=O)NC(=Nc2ccccc21)C3CCCC3,1.83
Cc1ccc(cc1N(=O)=O)C(=O)O,2.35
Cc1nc(Cl)c(N(=O)=O)n1C,0.87
CCCCCC(=O)NC1C2SC(C)(C)C(N2C1=O)C(=O)O,2.37
OC(=O)C1CCNCC1,-3.05
COC(=O)CNC(=O)c1ccccc1,0.82
NCCCN,-1.43
OC(=O)c1ccc(F)cc1,2.07
CCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,3.20
CCCC(C(=O)N)n1nnc2ccccc12,1.38
CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2Cl)n1,1.70
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,2.93
CN(N)C(=O)c1ccccc1,0.70
Oc1ccccc1C=Nc2ccccc2,3.09
CCCCN(C)CC(=O)Nc1c(C)cccc1C,2.74
CC(C)c1ccc(O)c(=O)cc1,1.89
CN(C)CCCN1c2cc(O)ccc2Sc3ccc(Cl)cc13,4.63
Cc1n[nH]c(C(=O)N2CCCCC2)c1N(=O)=O,0.79
CNS(=O)(=O)c1ccc(Cl)cc1,1.92
O=N(=O)c1cc2ccccc2nn1,0.73
C=CCN(CC=C)C(=O)COC(=O)c1ccccc1,2.34
NC(=O)Cc1ccsc1,0.31
COc1cccc(OC)c1C,2.87
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,3.79
COc1ccc(O)c2ncccc12,2.06
CC(C)(C)NCC(O)COCCCc1ccccc1,2.58
CNC(=O)Oc1ccccc1F,1.25
Clc1ccc2oc3c(Cl)c(Cl)cc(Cl)c3c2c1,6.13
CCN(C(C)C(C)C)C(=O)SCc1ccccc1,4.60
NS(=O)(=O)c1ccc(CCCCO)cc1,0.57
CC(=O)CCC#C,0.58
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O,0.37
COc1ccc(CCNC(=O)C=Cc2ccc(O)c(O)c2)cc1OC,2.07
CN(C)c1cccnn1,0.29
Oc1ccc(CC#N)c2cccnc12,1.81
FC1(F)Oc2cccc(c3c[nH]cc3C#N)c2O1,4.12
CC(C)OC(=O)CS(=O)c1ccc(Cl)cc1N(=O)=O,2.22
CNC(=O)N(C)c1ccccc1,1.02
Brc1cccnc1,1.60
COc1cccc(C(=O)O)c1O,1.94
CCOC(=O)c1cccc2N(CCN(C)C)C(=O)C(OC(=O)C)C(Cc12)c3ccc(OC)cc3,4.2
Cc1cccc(N(=O)=O)c1C,2.83
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,6.91
CCN(N=O)C(=O)Nc1ccccc1,2.25
CC=CC=CCCCCCCCO,3.7
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,4.80
COc1ccccc1O,1.32
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OCC1OC7CC(O)C(O)C(C)O7,-0.96
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)c3ccccc3,4.06
CCOc1ccccn1,1.81
Cc1nc2ccc(CN(CC#C)c3ccc(cc3)C(=O)NCc4cccc(c4)N(=O)=O)cc2c(=O)[nH]1,3.7
CON(C)C(=O)Nc1ccc(cc1)C2CCCCC2,4.08
CCCC(=O)Nc1ccc(C)cc1O,2.26
O=N(=O)c1cnc(N=C2NCCN2)s1,1.38
Cc1nccc2c3ccccc3[nH]c12,2.89
CN1CCN(CCn2nc3ccccc3n2)CC1,0.44
OC(=O)CCCl,0.41
OC(=O)c1cc(Br)ccc1O,3.23
CC(=O)NC(CCCCNC(=O)N(CC#C)N=O)C(=O)NCc1ccccc1,1.64
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,3.01
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,1.20
CCn1cnc(n1)N(=O)=O,-0.19
Nc1ccc2nc3ccccc3cc2c1,2.62
FC(F)(F)COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.06
Nc1nc(S)c2ncn(C3CC(O)C(CO)O3)c2n1,-0.79
NC(=NC#N)N,-1.15
NS(=O)(=O)c1cc2c(N=CNS2(=O)=O)cc1C(F)(F)F,-0.15
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C)C(=O)NCC(=O)N,0.34
CC1CCCC(C)C1O,2.38
CNC1CCc2cc(OC)c(OC)c(OC)c2-c3ccc(OC)c(=O)cc13,1.37
COc1cc(C)nn1c2nc(C)cc(OC)n2,1.26
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)O,-0.76
CC(=O)Nc1ccc2cccnc2c1,1.55
CC(C)NNC(=O)C(C)Oc1cccc(Cl)c1,2.18
O=C(OCn1ncc2c(=O)[nH]cnc12)c3ccccc3,1.50
COc1ccc(cc1)C2Cc3c(cccc3N(CCN(C)C)C(=O)C2OC(=O)C)C(F)(F)F,4.9
OCC(NC(=O)C(Cl)Cl)C(O)c1ccccc1,0.94
FN(F)C(c1ccccc1)(c2ccccc2)c3ccccc3,3.73
NNC(=O)c1ccccc1N,-0.18
CCOC(=O)C(=Cc1c(Cl)cccc1Cl)C(=O)C,2.86
Cc1cccc(c1)N2C(=O)CCC2=O,0.57
Cc1cc(NN)ncn1,0.62
CC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3N(C)C1=O,3.40
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)C(N)C(C)C4OC(=O)OC41C,2.92
FC(F)(F)C(=O)C(F)(F)F,1.47
COc1cncnc1,0.07
COc1ccccc1Cl,2.68
CC(C)OP(=O)OC(C)C,0.45
OC(=O)C(Cc1ccccc1)n2cccc2,2.34
Nc1nc(N)nc(O)n1,-0.19
CCOc1cncc(OCC)n1,2.55
CC12CCC3C(CCC4CC(O)CCC43C)C2(O)CCC1C5=CC(=O)OC5,2.43
CNC(=O)N(C)C(=O)Nc1cc(ccc1F)C(=O)OC,2.28
COc1c(O)cc2CCC(NC(=O)C)c3cc(=O)c(SC)ccc3-c2c1OC,1.43
Cc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.06
CCCCCNC(=O)NN,-0.04
Nc1ccc(C(=O)Oc2ccccc2Cl)c(O)c1,3.72
Cc1cc[nH]c(=O)n1,-1.45
CCOC(=O)C(=Cc1ccc(Cl)cc1)C(=O)C,3.04
O=c1[nH]cnc2nc[nH]c12,-1.11
CCCCN(SN(C)C(=O)ON=C(C)SC)C(=O)c1ccccc1,3.40
